block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9049309,arkadiko-v2,SP2KB34T2ZCX7F6TW3MTM5FZ2738WABWRVZFY7N1J|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP2KB34T2ZCX7F6TW3MTM5FZ2738WABWRVZFY7N1J,11468848345,659719800,12.417429,12.417429,12.417429,no,true
9049309,arkadiko-v2,SP1Z9QKX59DADP38X0PHRY9NQX0X29BPE0Q9136MS|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP1Z9QKX59DADP38X0PHRY9NQX0X29BPE0Q9136MS,84100901778,4080538800,14.721571,14.721571,14.721571,no,false
9049309,arkadiko-v2,SP28QESDAEJ94D43QVFEPS51J7YVB4YW4XH2N66V7|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP28QESDAEJ94D43QVFEPS51J7YVB4YW4XH2N66V7,334790748,11517400,20.763,20.763,20.763,no,true
9049309,arkadiko-v2,SP3DAT7GJ2CZW3V1DGC8PAKP3SW4KSFXTWM3FB1HC|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP3DAT7GJ2CZW3V1DGC8PAKP3SW4KSFXTWM3FB1HC,371989704,11634900,22.837,22.837,22.837,no,true
9049309,arkadiko-v2,SP7RHAGSV5K6BQSNFZ79HVCAYVYP84DJHHVPXTQA|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP7RHAGSV5K6BQSNFZ79HVCAYVYP84DJHHVPXTQA,76243175182,2328913800,23.384,23.384,23.384,no,false
9049309,arkadiko-v2,SP1A4R6JSS4Q384GNHVH1DWAMHAX6X11WEK1D6QEG|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP1A4R6JSS4Q384GNHVH1DWAMHAX6X11WEK1D6QEG,371989704,11517400,23.07,23.07,23.07,no,true
9049309,arkadiko-v2,SP357REJB7P8K2N1Z3KAY5Z3APSXHHQCTHRPX1JT0|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP357REJB7P8K2N1Z3KAY5Z3APSXHHQCTHRPX1JT0,458930384,11517400,28.461929,28.461929,28.461929,no,true
9049309,arkadiko-v2,SP3TKT08Y3NA1R6MYR4YVCQ36Q0EV0KK3Z2VH38G0|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP3TKT08Y3NA1R6MYR4YVCQ36Q0EV0KK3Z2VH38G0,5579845971,122507400,32.533571,32.533571,32.533571,no,true
9049309,arkadiko-v2,SP2Z7BS65RDDHE17JSXVHCQDGNPJVW6672W0WZT00|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP2Z7BS65RDDHE17JSXVHCQDGNPJVW6672W0WZT00,4352279843,90627300,34.302786,34.302786,34.302786,no,true
9049309,arkadiko-v2,SP2S6MCR2K3TYAC02RSYQ74RE9RJ3Q0EV3FYFGKGB|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP2S6MCR2K3TYAC02RSYQ74RE9RJ3Q0EV3FYFGKGB,22319383886,427032100,37.333,37.333,37.333,no,true
