block_height,market,position,account,side,asset,amount_base_units
9049309,granite-aeusdc,SP14JPKZT1AGJWXHTVBPMVZQ11T7PGT0205DACDTB,SP14JPKZT1AGJWXHTVBPMVZQ11T7PGT0205DACDTB,debt,token-aeusdc,2
9049309,granite-aeusdc,SP14JPKZT1AGJWXHTVBPMVZQ11T7PGT0205DACDTB,SP14JPKZT1AGJWXHTVBPMVZQ11T7PGT0205DACDTB,debt_stored,shares,1
9049309,granite-aeusdc,SP14PW4M1XM9NQPVWXXJPCYGZ8GCXGTVA93G9GC86,SP14PW4M1XM9NQPVWXXJPCYGZ8GCXGTVA93G9GC86,collateral,sBTC,49
9049309,granite-aeusdc,SP14PW4M1XM9NQPVWXXJPCYGZ8GCXGTVA93G9GC86,SP14PW4M1XM9NQPVWXXJPCYGZ8GCXGTVA93G9GC86,debt,token-aeusdc,1786
9049309,granite-aeusdc,SP14PW4M1XM9NQPVWXXJPCYGZ8GCXGTVA93G9GC86,SP14PW4M1XM9NQPVWXXJPCYGZ8GCXGTVA93G9GC86,debt_stored,shares,1156
9049309,granite-aeusdc,SP14W78Q821B3HQ3ED30624Z1F13X4JMFZY3N5SK4,SP14W78Q821B3HQ3ED30624Z1F13X4JMFZY3N5SK4,collateral,sBTC,79
9049309,granite-aeusdc,SP14W78Q821B3HQ3ED30624Z1F13X4JMFZY3N5SK4,SP14W78Q821B3HQ3ED30624Z1F13X4JMFZY3N5SK4,debt,token-aeusdc,2
9049309,granite-aeusdc,SP14W78Q821B3HQ3ED30624Z1F13X4JMFZY3N5SK4,SP14W78Q821B3HQ3ED30624Z1F13X4JMFZY3N5SK4,debt_stored,shares,1
9049309,granite-aeusdc,SP152K3QSGGHWXEKEC9Y34ARH0P034XSXPT3GE47Q,SP152K3QSGGHWXEKEC9Y34ARH0P034XSXPT3GE47Q,collateral,sBTC,51
9049309,granite-aeusdc,SP152K3QSGGHWXEKEC9Y34ARH0P034XSXPT3GE47Q,SP152K3QSGGHWXEKEC9Y34ARH0P034XSXPT3GE47Q,debt,token-aeusdc,2
9049309,granite-aeusdc,SP152K3QSGGHWXEKEC9Y34ARH0P034XSXPT3GE47Q,SP152K3QSGGHWXEKEC9Y34ARH0P034XSXPT3GE47Q,debt_stored,shares,1
9049309,granite-aeusdc,SP1536TSFBZ7SYF8GEMY7D2WRJ7QWRKDMCTR9NDXJ,SP1536TSFBZ7SYF8GEMY7D2WRJ7QWRKDMCTR9NDXJ,collateral,sBTC,100
9049309,granite-aeusdc,SP1536TSFBZ7SYF8GEMY7D2WRJ7QWRKDMCTR9NDXJ,SP1536TSFBZ7SYF8GEMY7D2WRJ7QWRKDMCTR9NDXJ,debt,token-aeusdc,66718
9049309,granite-aeusdc,SP1536TSFBZ7SYF8GEMY7D2WRJ7QWRKDMCTR9NDXJ,SP1536TSFBZ7SYF8GEMY7D2WRJ7QWRKDMCTR9NDXJ,debt_stored,shares,43189
9049309,granite-aeusdc,SP15A48CNM9YG6EJAZT5XKM7ZGVZBCWHGEV39QGA3,SP15A48CNM9YG6EJAZT5XKM7ZGVZBCWHGEV39QGA3,collateral,sBTC,49
