block_height,market,position,account,side,asset,amount_base_units
9053676,zest-v1,SP1WHA75KA89M4PHGXXNZMEFA7SKSFHTRKPYN7K5V,SP1WHA75KA89M4PHGXXNZMEFA7SKSFHTRKPYN7K5V,debt,stSTX,61725161
9053676,zest-v1,SP1WHA75KA89M4PHGXXNZMEFA7SKSFHTRKPYN7K5V,SP1WHA75KA89M4PHGXXNZMEFA7SKSFHTRKPYN7K5V,debt_stored,STX,10000000
9053676,zest-v1,SP1WHA75KA89M4PHGXXNZMEFA7SKSFHTRKPYN7K5V,SP1WHA75KA89M4PHGXXNZMEFA7SKSFHTRKPYN7K5V,debt_stored,stSTX,58955482
9053676,zest-v1,SP1WQAB4ES6PNN3D115XAXGHRPRP160T46NM9ETH2,SP1WQAB4ES6PNN3D115XAXGHRPRP160T46NM9ETH2,collateral,stSTX,8708223151
9053676,zest-v1,SP1WQAB4ES6PNN3D115XAXGHRPRP160T46NM9ETH2,SP1WQAB4ES6PNN3D115XAXGHRPRP160T46NM9ETH2,debt,STX,1558
9053676,zest-v1,SP1WQAB4ES6PNN3D115XAXGHRPRP160T46NM9ETH2,SP1WQAB4ES6PNN3D115XAXGHRPRP160T46NM9ETH2,debt,stSTX,4542150679
9053676,zest-v1,SP1WQAB4ES6PNN3D115XAXGHRPRP160T46NM9ETH2,SP1WQAB4ES6PNN3D115XAXGHRPRP160T46NM9ETH2,debt_stored,STX,1374
9053676,zest-v1,SP1WQAB4ES6PNN3D115XAXGHRPRP160T46NM9ETH2,SP1WQAB4ES6PNN3D115XAXGHRPRP160T46NM9ETH2,debt_stored,stSTX,4340996996
9053676,zest-v1,SP1WQJ2JMT1PGPMYW13E6P3QYAPBCC3ZJ5ATX599S,SP1WQJ2JMT1PGPMYW13E6P3QYAPBCC3ZJ5ATX599S,collateral,STX,41671378
9053676,zest-v1,SP1WQJ2JMT1PGPMYW13E6P3QYAPBCC3ZJ5ATX599S,SP1WQJ2JMT1PGPMYW13E6P3QYAPBCC3ZJ5ATX599S,collateral,stSTX,18499864
9053676,zest-v1,SP1WQJ2JMT1PGPMYW13E6P3QYAPBCC3ZJ5ATX599S,SP1WQJ2JMT1PGPMYW13E6P3QYAPBCC3ZJ5ATX599S,debt,stSTX,19293931
9053676,zest-v1,SP1WQJ2JMT1PGPMYW13E6P3QYAPBCC3ZJ5ATX599S,SP1WQJ2JMT1PGPMYW13E6P3QYAPBCC3ZJ5ATX599S,debt_stored,stSTX,18468272
9053676,zest-v1,SP1WST899N8B2VR76DCHQ56ZQ78R9VSYT2B2RNTJY,SP1WST899N8B2VR76DCHQ56ZQ78R9VSYT2B2RNTJY,collateral,sBTC,1798
9053676,zest-v1,SP1WST899N8B2VR76DCHQ56ZQ78R9VSYT2B2RNTJY,SP1WST899N8B2VR76DCHQ56ZQ78R9VSYT2B2RNTJY,debt,USDH,354591483
9053676,zest-v1,SP1WST899N8B2VR76DCHQ56ZQ78R9VSYT2B2RNTJY,SP1WST899N8B2VR76DCHQ56ZQ78R9VSYT2B2RNTJY,debt_stored,USDH,334600710
9053676,zest-v1,SP1WY102H26RKKV4WKHH3ZB9KGVBE925HP6PH3WE5,SP1WY102H26RKKV4WKHH3ZB9KGVBE925HP6PH3WE5,collateral,stSTX,833
9053676,zest-v1,SP1WY102H26RKKV4WKHH3ZB9KGVBE925HP6PH3WE5,SP1WY102H26RKKV4WKHH3ZB9KGVBE925HP6PH3WE5,debt,stSTX,20
9053676,zest-v1,SP1WY102H26RKKV4WKHH3ZB9KGVBE925HP6PH3WE5,SP1WY102H26RKKV4WKHH3ZB9KGVBE925HP6PH3WE5,debt_stored,stSTX,19
9053676,zest-v1,SP1WY6GSNF3GQT6ZGE90SC5EGNQGP9HVHAZ8F3KQN,SP1WY6GSNF3GQT6ZGE90SC5EGNQGP9HVHAZ8F3KQN,collateral,STX,10140655
9053676,zest-v1,SP1WY6GSNF3GQT6ZGE90SC5EGNQGP9HVHAZ8F3KQN,SP1WY6GSNF3GQT6ZGE90SC5EGNQGP9HVHAZ8F3KQN,debt,USDH,138598473
9053676,zest-v1,SP1WY6GSNF3GQT6ZGE90SC5EGNQGP9HVHAZ8F3KQN,SP1WY6GSNF3GQT6ZGE90SC5EGNQGP9HVHAZ8F3KQN,debt_stored,USDH,137759920
9053676,zest-v1,SP1WYX7K5Z83JK6WVAYG452K28JM1Y5JH6NH957RN,SP1WYX7K5Z83JK6WVAYG452K28JM1Y5JH6NH957RN,collateral,stSTX,5003880689
9053676,zest-v1,SP1WYX7K5Z83JK6WVAYG452K28JM1Y5JH6NH957RN,SP1WYX7K5Z83JK6WVAYG452K28JM1Y5JH6NH957RN,debt,stSTX,1709550125
9053676,zest-v1,SP1WYX7K5Z83JK6WVAYG452K28JM1Y5JH6NH957RN,SP1WYX7K5Z83JK6WVAYG452K28JM1Y5JH6NH957RN,debt_stored,stSTX,1630868842
9053676,zest-v1,SP1X0M0CE2J5XZ8A7DGTKHWZQMN5ZFRP7H5ZJJ97B,SP1X0M0CE2J5XZ8A7DGTKHWZQMN5ZFRP7H5ZJJ97B,collateral,stSTX,5175279
9053676,zest-v1,SP1X0M0CE2J5XZ8A7DGTKHWZQMN5ZFRP7H5ZJJ97B,SP1X0M0CE2J5XZ8A7DGTKHWZQMN5ZFRP7H5ZJJ97B,debt,stSTX,261457
9053676,zest-v1,SP1X0M0CE2J5XZ8A7DGTKHWZQMN5ZFRP7H5ZJJ97B,SP1X0M0CE2J5XZ8A7DGTKHWZQMN5ZFRP7H5ZJJ97B,debt_stored,stSTX,249644
9053676,zest-v1,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,collateral,stSTX,275402012
9053676,zest-v1,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,debt,STX,117343106
