block_height,market,position,account,side,asset,amount_base_units
9053676,arkadiko-v2,SP28PBTWEHR197J6BJHCDCKTVH6EFTRADJ5X7XFXF|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP28PBTWEHR197J6BJHCDCKTVH6EFTRADJ5X7XFXF,debt,USDA,20727
9053676,arkadiko-v2,SP28PBTWEHR197J6BJHCDCKTVH6EFTRADJ5X7XFXF|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP28PBTWEHR197J6BJHCDCKTVH6EFTRADJ5X7XFXF,debt_stored,USDA,20727
9053676,arkadiko-v2,SP2FSM29506QZYKJMFGNTAF2V6Q58K2Y61DDT7Y0F|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2FSM29506QZYKJMFGNTAF2V6Q58K2Y61DDT7Y0F,collateral,STX,4283470
9053676,arkadiko-v2,SP2FSM29506QZYKJMFGNTAF2V6Q58K2Y61DDT7Y0F|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2FSM29506QZYKJMFGNTAF2V6Q58K2Y61DDT7Y0F,debt,USDA,59295
9053676,arkadiko-v2,SP2FSM29506QZYKJMFGNTAF2V6Q58K2Y61DDT7Y0F|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2FSM29506QZYKJMFGNTAF2V6Q58K2Y61DDT7Y0F,debt_stored,USDA,59295
9053676,arkadiko-v2,SPYGMT67CFCEBJJ9CCG0K5WDEK45ED6R17PT8P16|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPYGMT67CFCEBJJ9CCG0K5WDEK45ED6R17PT8P16,collateral,STX,8990216
9053676,arkadiko-v2,SPYGMT67CFCEBJJ9CCG0K5WDEK45ED6R17PT8P16|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPYGMT67CFCEBJJ9CCG0K5WDEK45ED6R17PT8P16,debt,USDA,116164
9053676,arkadiko-v2,SPYGMT67CFCEBJJ9CCG0K5WDEK45ED6R17PT8P16|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPYGMT67CFCEBJJ9CCG0K5WDEK45ED6R17PT8P16,debt_stored,USDA,116164
9053676,arkadiko-v2,SP1JPKH64TWH1EW9K88A16FJRRXRNMY2J9JSAF086|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JPKH64TWH1EW9K88A16FJRRXRNMY2J9JSAF086,collateral,STX,1000000
9053676,arkadiko-v2,SP1JPKH64TWH1EW9K88A16FJRRXRNMY2J9JSAF086|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JPKH64TWH1EW9K88A16FJRRXRNMY2J9JSAF086,debt,USDA,10000
9053676,arkadiko-v2,SP1JPKH64TWH1EW9K88A16FJRRXRNMY2J9JSAF086|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JPKH64TWH1EW9K88A16FJRRXRNMY2J9JSAF086,debt_stored,USDA,10000
9053676,arkadiko-v2,SPE39HZGRQ45ZSDJXY5JEG483VC8B8J0DEEDDTT5|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPE39HZGRQ45ZSDJXY5JEG483VC8B8J0DEEDDTT5,collateral,STX,1000000
9053676,arkadiko-v2,SPE39HZGRQ45ZSDJXY5JEG483VC8B8J0DEEDDTT5|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPE39HZGRQ45ZSDJXY5JEG483VC8B8J0DEEDDTT5,debt,USDA,10000
9053676,arkadiko-v2,SPE39HZGRQ45ZSDJXY5JEG483VC8B8J0DEEDDTT5|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPE39HZGRQ45ZSDJXY5JEG483VC8B8J0DEEDDTT5,debt_stored,USDA,10000
9053676,arkadiko-v2,SP13AC1JF3RVH4PMB3CDM8Y6AK9K24XRY20XYCRZT|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP13AC1JF3RVH4PMB3CDM8Y6AK9K24XRY20XYCRZT,collateral,STX,51300435
9053676,arkadiko-v2,SP13AC1JF3RVH4PMB3CDM8Y6AK9K24XRY20XYCRZT|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP13AC1JF3RVH4PMB3CDM8Y6AK9K24XRY20XYCRZT,debt,USDA,508178
9053676,arkadiko-v2,SP13AC1JF3RVH4PMB3CDM8Y6AK9K24XRY20XYCRZT|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP13AC1JF3RVH4PMB3CDM8Y6AK9K24XRY20XYCRZT,debt_stored,USDA,508178
9053676,arkadiko-v2,SP3H6Z8KZ2EHTCNW5B43K3RSXCYWTPNKPTX4VJJZE|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3H6Z8KZ2EHTCNW5B43K3RSXCYWTPNKPTX4VJJZE,collateral,STX,1800779
9053676,arkadiko-v2,SP3H6Z8KZ2EHTCNW5B43K3RSXCYWTPNKPTX4VJJZE|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3H6Z8KZ2EHTCNW5B43K3RSXCYWTPNKPTX4VJJZE,debt,USDA,10144
9053676,arkadiko-v2,SP3H6Z8KZ2EHTCNW5B43K3RSXCYWTPNKPTX4VJJZE|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3H6Z8KZ2EHTCNW5B43K3RSXCYWTPNKPTX4VJJZE,debt_stored,USDA,10144
9053676,arkadiko-v2,SP3MSQHD6CD47T80DQTHN964ZVMMBX12VM6SC8RDT|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3MSQHD6CD47T80DQTHN964ZVMMBX12VM6SC8RDT,collateral,STX,100000000
9053676,arkadiko-v2,SP3MSQHD6CD47T80DQTHN964ZVMMBX12VM6SC8RDT|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3MSQHD6CD47T80DQTHN964ZVMMBX12VM6SC8RDT,debt,USDA,541139
9053676,arkadiko-v2,SP3MSQHD6CD47T80DQTHN964ZVMMBX12VM6SC8RDT|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3MSQHD6CD47T80DQTHN964ZVMMBX12VM6SC8RDT,debt_stored,USDA,541139
9053676,arkadiko-v2,SP19R89P6EQ3XE8B2KC4K5M1FE909XWCZCYEN18P6|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP19R89P6EQ3XE8B2KC4K5M1FE909XWCZCYEN18P6,collateral,STX,5421814
9053676,arkadiko-v2,SP19R89P6EQ3XE8B2KC4K5M1FE909XWCZCYEN18P6|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP19R89P6EQ3XE8B2KC4K5M1FE909XWCZCYEN18P6,debt,USDA,19796
9053676,arkadiko-v2,SP19R89P6EQ3XE8B2KC4K5M1FE909XWCZCYEN18P6|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP19R89P6EQ3XE8B2KC4K5M1FE909XWCZCYEN18P6,debt_stored,USDA,19796
9053676,arkadiko-v2,SPK2780EBGCJG5BQKS62JG0SBPNBYNMYYF5XYFPE|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPK2780EBGCJG5BQKS62JG0SBPNBYNMYYF5XYFPE,collateral,STX,2753277
9053676,arkadiko-v2,SPK2780EBGCJG5BQKS62JG0SBPNBYNMYYF5XYFPE|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPK2780EBGCJG5BQKS62JG0SBPNBYNMYYF5XYFPE,debt,USDA,10004
9053676,arkadiko-v2,SPK2780EBGCJG5BQKS62JG0SBPNBYNMYYF5XYFPE|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPK2780EBGCJG5BQKS62JG0SBPNBYNMYYF5XYFPE,debt_stored,USDA,10004
9053676,arkadiko-v2,SP1JQ6KP52NFT2RAF0JN348G8XD142GZ0PN7Q9ETK|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JQ6KP52NFT2RAF0JN348G8XD142GZ0PN7Q9ETK,collateral,STX,4903578
